gotOffer,experience,difficulty,length,role,details,questions/0,date,questions/1
No Offer,Neutral Experience,Average Interview,-,SWE,"Met an alum at a job fair, was contacted to apply online. Set up a 30-40 min phone interview with a recruiter. First a couple behavioral questions, asked about my projects and my knowledge of the company. Then moved onto actual coding on an online coding environment.",BST Implementation  ,"Jan 9, 2017",
No Offer,Negative Experience,Easy Interview,1 day,QA Engineer,"phone interview scheduled in evenings after 8pm. generic, open ended. the interviewer was really unsure of what to ask, it was 8pm so seemed that we were both annoyed at the timing. Not sure why she wanted to interview so late. Didn't seem like the team knew what type of candidate they were looking for. Job description should have said: Jack of all traits. (they wanted a developer who wants…  to be a scrum master, run manual testcase and automate the testcases)","generic, open ended. the interviewer was really unsure of what to ask, it was 8pm so seemed that we were both annoyed at the timing. Not sure why she wanted to interview so late. Didn't seem like the team knew what type of candidate they were looking for. Job description should have said: Jack of all traits. (they wanted a developer who wants to be a scrum master, run manual…  testcase and automate the testcases)  ","Dec 1, 2016",
Accepted Offer,Neutral Experience,Average Interview,4 weeks,Software Engineer,The second Indian guy's accent was too bad. The first and the last interviewer is good. I like them. But the second Indian guy made me very unhappy and his attitude is not very good and even a little distant.,Algorithm  ,"Jan 4, 2017",
Accepted Offer,Positive Experience,Difficult Interview,3+ weeks,Intern - Hourly,"I was met at front desk by coordinator, and then showed around the office (was offered water, tea, coffee). I then had four half-hour interviews with different engineers. The first interview covered some systems knowledge questions, a web page design, and a simpler coding question. The second interview involved another coding question on the simpler side, and discussion about the type of project that I would like to work on.…  The third and fourth interviews, were a single coding question of above average difficulty.",What is virtual memory?  ,"Nov 7, 2016",
No Offer,Neutral Experience,Difficult Interview,3 weeks,Software Engineer,"I went to my University's career fair, and talked for a relatively long time (~15 minutes) with a Senior Engineer. About 3 weeks later, I got a call from Splunk detailing an interview date and time. They were flexible with the interview time.The interview was over phone. There was muddled sound and I found it difficult to understand the interviewer. The interviewer gave questions over a code-sharing website. Awkward silences…  over the phone made it difficult to concentrate on the questions; when combined with the fact that this was my first interview of the year, I wasn't able to answer many questions.",Questions on semaphores and mutexes. Questions on parsing non-punctuated strings into valid IPs.  ,"Dec 4, 2016",
No Offer,Negative Experience,Easy Interview,2 weeks,Software Engineer Junior,"After submitting my application online, they sent me a coding interview which was not too bad. The phone call was horrible. The person asked only three questions and asked if I had any questions. The whole interview lasted less than 10 minutes- and I was later told that I wasn't selected",Difference between == and === operators in Javascript  ,"Dec 19, 2016",
No Offer,Neutral Experience,Easy Interview,3 weeks,Software Developer In Test,"It was a fantastic interview experience.1. First, one of the directors of Core department greeted me, which made me so surprised and happy and he showed me the building and introduced business of Splunk. He was very nice!2. Two engineers asked me some very easy coding questions. They were very friendly too.3. Two cute female engineers took my to lunch and as least in my point of view, we had…  a nice talk. They were both very clever and cute. Don't surprise by my words, cause I'm a girl too, there is no offense at all. And I really like them and want to learn from them. After that, they asked me technical questions, some interesting but not so tricky algorithms.4. Two more engineers came in, they were more serious but also very very nice and polite. One of them even took his time to walk me out the building.Actually, I'm still waiting for the result. But it really was a great experience so I cannot wait to share this. Even if the result is not good, I'm very grateful for this opportunity, and I can actually feel that this company cares about their employees. I'll be updated when the result comes out.",NDA. But algorithm part was easy. Other questions were basic too.  ,"Oct 5, 2016",
No Offer,Positive Experience,Average Interview,3 weeks,Senior Technical Curriculum Developer,"A phone screening from a recruiter, a phone interview with the hiring manager, and then a nine person interview with each person lasting 30-45 minutes. I was flown into San Francisco and then had five phone interviews out of nine people. It seemed like a waste of money to be interviewed in person by only four out of the nine people, but I wasn't paying for flight and hotel.",What do you do for fun? Are you willing to relocate?  ,"Nov 1, 2016",
No Offer,Negative Experience,-,-,Engineer Position,"Extremely rude interviewer. When he called me he was late and didn't bother to greet. He jumped right into questioning my resignation from a previous company. I knew right away that it was not the right place for me so didn't even make any effort to sale myself.He had an Indian accent and it was terrible trying to grasp what he was saying, but the worst part was the rudeness!",Questioned my resignation from previous company and other technical questins  ,"Sep 9, 2016",
No Offer,Positive Experience,Difficult Interview,4 weeks,Business Systems Analyst,"I had a phone conversation with the recruiter once my application was selected for review by the hiring manager. I then had a phone conversation with the hiring manager, where we discussed my experience, and the needs for the business. About one week later, I met one-on-one with a series of technical and administrative stakeholders for the product in question.","What attracted you to Splunk, and made you want to apply for this position?  ","Sep 15, 2016","What are your career goals, and how do you think you can achieve those at Spunk?  "
No Offer,Positive Experience,Easy Interview,2 weeks,Forward Delpoyment Engineer,"3 screen interviews, first two is behavior questions, and some background information on your resume, the last one is skill interview. they are very nice, it's a good experience. for this position, they want to find a guy who is very good at communication with diverse customers. as an international student. cause English problem, so I didn't pass the phone interview. but Splunk should be a good place to work…  .",how to delete duplicate item in list  ,"Oct 9, 2016",
